source               distance_pc          molecule             radius_au            theta_arcsec         sum_Kkms_arcsec2     mean_Kkms            n_pix                center_x_pix         center_y_pix         status              
-------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
T-Tauri              130.0                C18O                 6000.0               46.15384615384615    14177.36301210903    2.113802251888058    2027                 55.98118538399234    68.25371199209616    NA                  
GV_Tau               130.0                C18O                 6000.0               46.15384615384615    10198.751274593928   1.5490205459555542   1646                 29.632037842671288   27.202569878438457   NA                  
IRAS04591-0856       400.0                C18O                 6000.0               15.0                 640.0154492155833    0.914307784583966    175                  28.449322730939123   29.864521407948413   NA                  
IRAS03260+3111       300.0                C18O                 6000.0               20.0                 7295.149074202656    5.808239708678016    314                  33.5584530212685     32.90091090030783    NA                  
IRAS04181+2655M      130.0                C18O                 6000.0               46.15384615384615    3831.3460749244227   0.5887132874809703   1627                 27.251154064475756   25.773379441490007   NA                  
IRAS04181+2655S      130.0                C18O                 6000.0               46.15384615384615    3257.322576859516    0.4965430757395922   1640                 29.38635232346007    28.39686251265225    NA                  
V347_Aur             200.0                C18O                 6000.0               30.0                 543.4418944031135    0.19189332429727876  708                  33.259004051377666   32.76366016148515    NA                  
Elia32               130.0                C18O                 6000.0               NA                   NA                   NA                   NA                   NA                   NA                   FAIL                
Elia33               130.0                C18O                 6000.0               NA                   NA                   NA                   NA                   NA                   NA                   FAIL                
IRS5                 130.0                C18O                 6000.0               46.15384615384615    48273.117838246704   7.997534433036448    1509                 28.793780225167538   29.623802554239397   NA                  
EC92                 420.0                C18O                 6000.0               14.285714285714286   6213.776446481374    9.680026360233533    194                  71.14683044323507    40.5375447810213     NA                  
YLW58                130.0                C18O                 6000.0               46.15384615384615    11116.926179941127   1.8356879425279649   1514                 28.99464088590554    29.530390887872414   NA                  
WLY2-42              130.0                C18O                 6000.0               NA                   NA                   NA                   NA                   NA                   NA                   FAIL                
OphIRS63             130.0                C18O                 6000.0               46.15384615384615    5719.929301152365    0.9190117772079256   1556                 25.78891372646711    26.250506693825727   NA                  
IRAS04113+2758S      130.0                C18O                 6000.0               46.15384615384615    1272.3050683665563   0.1902370018530629   1672                 32.79650622038192    30.612610253198678   NA                  
IRAS03301+3111       300.0                C18O                 6000.0               20.0                 683.0833827064198    0.5421296688164448   315                  33.611657387759145   33.154240938254375   NA                  
GY92-235             130.0                C18O                 6000.0               46.15384615384615    10655.060986379915   1.764271522290527    1510                 28.762084968174083   29.621905121391684   NA                  
IRAS05379-0758       400.0                C18O                 6000.0               15.0                 130.78418996468483   0.18577299710832912  176                  30.650437660754257   33.32797452433653    NA                  
DG-Tau               130.0                C18O                 6000.0               46.15384615384615    1382.7061316979057   0.40382772537779016  856                  16.743961808160712   52.70312427989326    NA                  
DoAr25               130.0                C18O                 6000.0               46.15384615384615    3232.983713765635    0.5352622042553618   1510                 28.93870644971378    29.601324453132793   NA                  
IRAS04489+3042       130.0                C18O                 6000.0               46.15384615384615    174.28531037122977   0.028874305893035312 1509                 33.242932847121736   28.419311529031837   NA                  
IRAS04108+2803       130.0                C18O                 6000.0               46.15384615384615    1418.2118389240609   0.21619082910252294  1640                 29.734833869435555   28.144628913509912   NA                  
IRAS19247+2238       300.0                C18O                 6000.0               20.0                 197.78725386359997   0.15797703982720518  313                  37.632291147204846   36.49742735349764    NA                  
Haro6-33             130.0                C18O                 6000.0               46.15384615384615    211.1898006769013    0.03223287556107108  1638                 29.673039401453867   28.114651347885587   NA                  
SR24                 130.0                C18O                 6000.0               46.15384615384615    704.8577646875414    0.10539141218416302  1672                 38.947260940865874   34.232344990505496   NA                  
Haro6-13             130.0                C18O                 6000.0               46.15384615384615    357.2057876265031    0.05373131582842343  1662                 28.019524208475442   27.22097011384111    NA                  
